CodeSite_SamplingOperations,Longitude_Lambert93,Latitude_Lambert93,Watershed,CodeDepartement,HERlvl1Code,HERlvl1Name,HERlvl2Code,HERlvl2Name,Altitude,Streamsize
S02096750,993887.0,6875414.0,Rhin-Meuse,67,10,COTES CALCAIRES EST,25,Plateau lorrain,225.0,
S05170800,596306.0,6214010.0,Adour-Garonne,09,14,COTEAUX AQUITAINS,68,Coteaux molassiques Est Aquitaine,424.0,TP
S05201050,371740.0,6264090.0,Adour-Garonne,64,14,COTEAUX AQUITAINS,77,Coteaux molassiques bassin de l'adour,25.0,P
S02067400,984385.0,6837446.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,25,Plateau lorrain,260.0,M
S05023100,488324.0,6553060.0,Adour-Garonne,16,9,TABLES CALCAIRES,97,TC - Charentes Poitou,99.0,TP
S05055940,571373.0,6474400.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,303.0,TP
S05056900,596656.0,6496650.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,92,MC Plateau Limousin,460.0,TP
S05055600,614187.0,6493850.0,Adour-Garonne,19,21,MASSIF CENTRAL NORD,89,Hautes Terres Limousines,705.0,TP
S06109050,898900.0,6388467.0,Rhône-Méditerranée,26,7,PREALPES DU SUD,14,Prealpes dromoises Baronnies,651.0,P
S06012080,862027.0,6725705.0,Rhône-Méditerranée,21,10,COTES CALCAIRES EST,99,Cotes de Bourgogne,310.0,TP
S06013800,874180.0,6677880.0,Rhône-Méditerranée,21,15,PLAINE SAONE,81,Plaine de Bourgogne,188.0,M
S06035500,858697.0,6646903.0,Rhône-Méditerranée,71,15,PLAINE SAONE,84,Bresse,175.0,TG
S06036970,851727.0,6655572.0,Rhône-Méditerranée,21,15,PLAINE SAONE,81,Plaine de Bourgogne,180.0,P
S02073200,932256.0,6852297.0,Rhin-Meuse,54,10,COTES CALCAIRES EST,53,BP-Cotes calcaires,205.0,TP
S05121350,608370.0,6347640.0,Adour-Garonne,82,11,CAUSSES AQUITAINS,65,Causses du Quercy,216.0,TP
S05124250,649088.0,6325930.0,Adour-Garonne,81,3,MASSIF CENTRAL SUD,93,MC versant occidental,385.0,TP
S05139310,652983.0,6287090.0,Adour-Garonne,81,3,MASSIF CENTRAL SUD,93,MC versant occidental,349.0,TP
S05143000,663419.0,6314240.0,Adour-Garonne,81,3,MASSIF CENTRAL SUD,93,MC versant occidental,240.0,P
S06035340,866344.0,6645172.0,Rhône-Méditerranée,71,15,PLAINE SAONE,84,Bresse,180.0,TP
S06036070,835417.0,6653904.0,Rhône-Méditerranée,21,15,PLAINE SAONE,81,Plaine de Bourgogne,226.0,TP
S06041700,874974.0,6630267.0,Rhône-Méditerranée,71,15,PLAINE SAONE,84,Bresse,184.0,P
S06087500,903852.0,6591138.0,Rhône-Méditerranée,39,5,JURA-PREALPES DU NORD,2,Jura premier plateau,331.0,M
S05117000,525386.0,6338460.0,Adour-Garonne,82,14,COTEAUX AQUITAINS,78,Coteaux molassiques Centre Aquitaine,48.0,TG
S05120000,567704.0,6332920.0,Adour-Garonne,82,14,COTEAUX AQUITAINS,66,Coteaux molassiques Nord Aquitaine,75.0,M
S06041800,872633.0,6621804.0,Rhône-Méditerranée,71,15,PLAINE SAONE,84,Bresse,179.0,P
S06037085,834763.0,6648230.0,Rhône-Méditerranée,21,15,PLAINE SAONE,81,Plaine de Bourgogne,203.0,P
S06468450,894511.0,6658542.0,Rhône-Méditerranée,39,15,PLAINE SAONE,84,Bresse,208.0,P
S05068400,634779.0,6461940.0,Adour-Garonne,19,3,MASSIF CENTRAL SUD,93,MC versant occidental,272.0,P
