Pressure,Parameter_label_eng,Parameter_label_fr,Parameter_code,Parameter_unit,Threshold_HighGood,Note_HighGood,Threshold_GoodModerate,Note_GoodModerate,Threshold_ModeratePoor,Note_ModeratePoor,Threshold_PoorBad,Note_PoorBad,NoteOther
Acidification,Aluminium,Aluminium,1370,µg / L,5.0,pH<6.5,10.0,pH<6.5,50.0,pH<6.5,100.0,pH<6.5,
Acidification,Aluminium,Aluminium,1370,µg / L,100.0,pH>6.5,200.0,pH>6.5,400.0,pH>6.5,800.0,pH>6.5,
Acidification,pH,Potentiel en Hydrogène (pH),1302,,6.5,minimum,6.0,minimum,5.5,minimum,4.5,minimum,
Acidification,pH,Potentiel en Hydrogène (pH),1302,,8.2,maximum,9.0,maximum,9.5,maximum,10.0,maximum,
Mineral Micropollutants,Arsenic,Arsenic,1369,µg / L,1.0,,10.0,,100.0,,270.0,,
Mineral Micropollutants,Cadmium,Cadmium,1388,µg / L,0.001,CaCO3 ≤ 50 mg/L,0.01,CaCO3 ≤ 50 mg/L,0.1,CaCO3 ≤ 50 mg/L,0.37,CaCO3 ≤ 50 mg/L,
Mineral Micropollutants,Cadmium,Cadmium,1388,µg / L,0.004,50 < CaCO3 ≤ 200 mg/L,0.04,50 < CaCO3 ≤ 200 mg/L,0.37,50 < CaCO3 ≤ 200 mg/L,1.3,50 < CaCO3 ≤ 200 mg/L,
Mineral Micropollutants,Cadmium,Cadmium,1388,µg / L,0.009,CaCO3 > 200 mg/L,0.09,CaCO3 > 200 mg/L,0.85,CaCO3 > 200 mg/L,3.0,CaCO3 > 200 mg/L,
Mineral Micropollutants,Chromium,Chrome,1389,µg / L,0.04,CaCO3 ≤ 50 mg/L,0.4,CaCO3 ≤ 50 mg/L,3.6,CaCO3 ≤ 50 mg/L,70.0,CaCO3 ≤ 50 mg/L,
Mineral Micropollutants,Chromium,Chrome,1389,µg / L,0.18,50 < CaCO3 ≤ 200 mg/L,1.8,50 < CaCO3 ≤ 200 mg/L,18.0,50 < CaCO3 ≤ 200 mg/L,350.0,50 < CaCO3 ≤ 200 mg/L,
Mineral Micropollutants,Chromium,Chrome,1389,µg / L,0.36,CaCO3 > 200 mg/L,3.6,CaCO3 > 200 mg/L,36.0,CaCO3 > 200 mg/L,700.0,CaCO3 > 200 mg/L,
Mineral Micropollutants,Copper,Cuivre,1392,µg / L,0.017,CaCO3 ≤ 50 mg/L,0.17,CaCO3 ≤ 50 mg/L,1.7,CaCO3 ≤ 50 mg/L,2.5,CaCO3 ≤ 50 mg/L,
Mineral Micropollutants,Copper,Cuivre,1392,µg / L,0.1,50 < CaCO3 ≤ 200 mg/L,1.0,50 < CaCO3 ≤ 200 mg/L,10.0,50 < CaCO3 ≤ 200 mg/L,15.0,50 < CaCO3 ≤ 200 mg/L,
Mineral Micropollutants,Copper,Cuivre,1392,µg / L,0.27,CaCO3 > 200 mg/L,2.7,CaCO3 > 200 mg/L,27.0,CaCO3 > 200 mg/L,40.0,CaCO3 > 200 mg/L,
Mineral Micropollutants,Free cyanides,Cyanures libres,1084,µg / L,0.02,,0.2,,2.0,,240.0,,
Mineral Micropollutants,Lead,Plomb,1382,µg / L,0.21,CaCO3 ≤ 50 mg/L,2.1,CaCO3 ≤ 50 mg/L,21.0,CaCO3 ≤ 50 mg/L,100.0,CaCO3 ≤ 50 mg/L,
Mineral Micropollutants,Lead,Plomb,1382,µg / L,0.52,50 < CaCO3 ≤ 200 mg/L,5.2,50 < CaCO3 ≤ 200 mg/L,52.0,50 < CaCO3 ≤ 200 mg/L,250.0,50 < CaCO3 ≤ 200 mg/L,
Mineral Micropollutants,Lead,Plomb,1382,µg / L,1.0,CaCO3 > 200 mg/L,10.0,CaCO3 > 200 mg/L,100.0,CaCO3 > 200 mg/L,500.0,CaCO3 > 200 mg/L,
Mineral Micropollutants,Mercury,Mercure,1387,µg / L,0.007,,0.07,,0.7,,3.0,,
Mineral Micropollutants,Nickel,Nickel,1386,µg / L,0.25,CaCO3 ≤ 50 mg/L,2.5,CaCO3 ≤ 50 mg/L,25.0,CaCO3 ≤ 50 mg/L,140.0,CaCO3 ≤ 50 mg/L,
Mineral Micropollutants,Nickel,Nickel,1386,µg / L,0.62,50 < CaCO3 ≤ 200 mg/L,6.2,50 < CaCO3 ≤ 200 mg/L,62.0,50 < CaCO3 ≤ 200 mg/L,360.0,50 < CaCO3 ≤ 200 mg/L,
Mineral Micropollutants,Nickel,Nickel,1386,µg / L,1.2,CaCO3 > 200 mg/L,12.0,CaCO3 > 200 mg/L,120.0,CaCO3 > 200 mg/L,720.0,CaCO3 > 200 mg/L,
