TaxonName,TaxonCode
Achnanthes aapajaervensis,Achaa01
Achnanthes affinis,Achaf01
Achnanthes amphicephala,Acham01
Achnanthes atomus,Achat01
Achnanthes biasolettiana,Achbi01
Achnanthes bioretii,Achbi02
Achnanthes brevipes,Achbr01
Achnanthes carissima,Achca01
Achnanthes catenata,Achca02
Achnanthes chlidanos,Achch01
Achnanthes clevei,Achcl01
Achnanthes coarctata,Achco01
Achnanthes conspicua,Achco02
Achnanthes convergens,Achco03
Achnanthes crassa,Achcr01
Achnanthes cyclophora,Achcy01
Achnanthes daonensis,Achda01
Achnanthes daui,Achda02
Achnanthes deflexa,Achde01
Achnanthes didyma,Achdi01
Achnanthes distincta,Achdi02
Achnanthes elliptica,Achel01
Achnanthes engelbrechtii,Achen01
Achnanthes eutrophila,Acheu01
Achnanthes exigua,Achex01
Achnanthes exilis,Achex02
Achnanthes expressa,Achex03
Achnanthes flexella,Achfl01
Achnanthes frigida,Achfr01
Achnanthes fugei,Achfu01
Achnanthes gessneri,Achge01
Achnanthes gracillima,Achgr01
Achnanthes grana,Achgr02
Achnanthes grischuna,Achgr03
Achnanthes hauckiana,Achha01
Achnanthes helvetica,Achhe01
Achnanthes hintzii,Achhi01
Achnanthes holsatica,Achho01
Achnanthes holstii,Achho02
Achnanthes imperfecta,Achim01
Achnanthes impexa,Achim02
Achnanthes impexiformis,Achim03
Achnanthes inflata,Achin01
Achnanthes intermedia,Achin02
Achnanthes japonica,Achja01
Achnanthes joursacense,Achjo01
Achnanthes kolbei,Achko01
Achnanthes kraeuselii,Achkr01
Achnanthes kranzii,Achkr02
Achnanthes krasskei,Achkr03
Achnanthes kryophila,Achkr04
Achnanthes kuelbsii,Achku01
Achnanthes laevis,Achla01
Achnanthes lanceolata,Achla02
Achnanthes laterostrata,Achla03
Achnanthes lauenburgiana,Achla04
Achnanthes lemmermannii,Achle01
Achnanthes levanderi,Achle02
Achnanthes linearioides,Achli01
Achnanthes linearis,Achli02
Achnanthes longipes,Achlo01
Achnanthes lutheri,Achlu01
Achnanthes marginulata,Achma01
Achnanthes minuscula,Achmi01
Achnanthes minutissima,Achmi02
Achnanthes montana,Achmo01
Achnanthes nana,Achna01
Achnanthes nitidiformis,Achni01
Achnanthes nodosa,Achno01
Achnanthes oblongella,Achob01
Achnanthes parvula,Achpa01
Achnanthes pericava,Achpe01
Achnanthes petersenii,Achpe02
Achnanthes ploenensis,Achpl01
Achnanthes procera,Achpr01
Achnanthes promunturii,Achpr02
Achnanthes pseudolinearis,Achps01
Achnanthes pseudoswazi,Achps02
Achnanthes pseudotanensis,Achps03
Achnanthes pusilla,Achpu01
Achnanthes pyrenaica,Achpy01
Achnanthes rechtensis,Achre01
Achnanthes rosenstockii,Achro01
Achnanthes rossii,Achro02
Achnanthes rostrata,Achro03
Achnanthes rupestoides,Achru01
Achnanthes rupestris,Achru02
Achnanthes saxonica,Achsa01
Achnanthes scotica,Achsc01
Achnanthes secretitaeniata,Achse01
Achnanthes semiaperta,Achse02
Achnanthes stewartii,Achst01
Achnanthes stolida,Achst02
Achnanthes straubiana,Achst03
Achnanthes subatomus,Achsu01
Achnanthes subexigua,Achsu02
Achnanthes subhudsonis,Achsu03
Achnanthes sublaevis,Achsu04
Achnanthes subsalsa,Achsu05
Achnanthes suchlandtii,Achsu06
Achnanthes thienemannii,Achth01
Achnanthes trinodis,Achtr01
Achnanthes tuma,Achtu01
Achnanthes ziegleri,Achzi01
Achnanthidium acsiae,Achac01
Achnanthidium affine,Achaf02
Achnanthidium alteragracillimum,Achal01
Achnanthidium anastasiae,Achan01
Achnanthidium atomoides,Achat02
Achnanthidium atomus,Achat03
Achnanthidium barbei,Achba01
Achnanthidium caledonicum,Achca03
Achnanthidium caravelense,Achca04
Achnanthidium costei,Achco04
Achnanthidium delicatulum,Achde02
Achnanthidium delmontii,Achde03
Achnanthidium druartii,Achdr01
Achnanthidium hoffmannii,Achho03
Achnanthidium hungaricum,Achhu01
Achnanthidium jackii,Achja02
Achnanthidium lanceolatum,Achla05
Achnanthidium latecephalum,Achla06
Achnanthidium lineare,Achli03
Achnanthidium linearioide,Achli04
Achnanthidium lusitanicum,Achlu02
Achnanthidium microcephalum,Achmi03
Achnanthidium modestiforme,Achmo02
Achnanthidium nanum,Achna02
Achnanthidium neomicrocephalum,Achne01
Achnanthidium pfisteri,Achpf01
Achnanthidium polonicum,Achpo01
Achnanthidium pseudolineare,Achps04
Achnanthidium rivulare,Achri01
Achnanthidium rostropyrenaicum,Achro04
Achnanthidium sieminskae,Achsi01
Achnanthidium strictum,Achst04
Achnanthidium sublineare,Achsu07
Achnanthidium temniskovae,Achte01
Achnanthidium trinode,Achtr02
Achnanthidium tropicocatenatum,Achtr03
Achnanthidium zhakovschikovii,Achzh01
Actinella robusta,Actro01
Actinocyclus determinatus,Actde01
Actinocyclus normanii,Actno01
Actinocyclus senarius,Actse01
Actinocyclus subtilis,Actsu01
Actinoptychus splendens,Actsp01
Actinoptychus vulgaris,Actvu01
Adlafia aquaeductae,Adlaq01
Adlafia baicalensis,Adlba01
Adlafia brockmannii,Adlbr01
Adlafia bryophila,Adlbr02
Adlafia minuscula,Adlmi01
Adlafia multnomahii,Adlmu01
Adlafia muscora,Adlmu02
Adlafia parabryophila,Adlpa01
Adlafia suchlandtii,Adlsu01
Afrocymbella reichardtii,Afrre01
Amphicocconeis discrepans,Ampdi01
Amphipleura pellucida,Amppe01
Amphiprora paludosa,Amppa01
Amphora aequalis,Ampae01
Amphora affinis,Ampaf01
Amphora alpestris,Ampal01
Amphora atomus,Ampat01
Amphora biggibosa,Ampbi01
Amphora bullatoides,Ampbu01
Amphora coffeaeformis,Ampco01
Amphora delphinea,Ampde01
Amphora dissimilis,Ampdi02
Amphora dusenii,Ampdu01
Amphora eileencoxiae,Ampei01
Amphora eximia,Ampex01
Amphora fogediana,Ampfo01
Amphora fontinalis,Ampfo02
Amphora helenensis,Amphe01
Amphora hiromuii,Amphi01
Amphora inariensis,Ampin01
Amphora indistincta,Ampin02
Amphora libyca,Ampli01
Amphora macedoniensis,Ampma01
Amphora meridionalis,Ampme01
Amphora micra,Ampmi01
Amphora minutissima,Ampmi02
Amphora montana,Ampmo01
Amphora neglecta,Ampne01
Amphora neglectiformis,Ampne02
Amphora normanii,Ampno01
Amphora oligotraphenta,Ampol01
Amphora ovalis,Ampov01
Amphora pediculus,Amppe02
Amphora polita,Amppo01
Amphora polonica,Amppo02
Amphora proteus,Amppr01
Amphora pseudominutissima,Ampps01
Amphora ridicula,Ampri01
Amphora stechlinensis,Ampst01
Amphora strigosa,Ampst02
Amphora subacutiuscula,Ampsu01
Amphora subatomus,Ampsu02
Amphora submontana,Ampsu03
Amphora subturgida,Ampsu04
Amphora tumida,Amptu01
Amphora veneta,Ampve01
Amphora vetula,Ampve02
Amphora vitrea,Ampvi01
Amphorotia curvata,Ampcu01
Anaulus balticus,Anaba01
Aneumastus minor,Anemi01
Aneumastus tusculus,Anetu01
Anomoeoneis garrensis,Anoga01
Anomoeoneis intermedia,Anoin01
Anomoeoneis sphaerophora,Anosp01
Anorthoneis eurystoma,Anoeu01
Asterionella formosa,Astfo01
Aulacoseira alpigena,Aulal01
Aulacoseira ambigua,Aulam01
Aulacoseira brasiliensis,Aulbr01
Aulacoseira crassipunctata,Aulcr01
Aulacoseira crenulata,Aulcr02
Aulacoseira distans,Auldi01
Aulacoseira granulata,Aulgr01
Aulacoseira islandica,Aulis01
Aulacoseira italica,Aulit01
Aulacoseira lirata,Aulli01
Aulacoseira nivalis,Aulni01
Aulacoseira pardata,Aulpa01
Aulacoseira pseudodistans,Aulps01
Aulacoseira pseudomuzzanensis,Aulps02
Aulacoseira subarctica,Aulsu01
Aulacoseira subborealis,Aulsu02
Aulacoseira tethera,Aulte01
Aulacoseira valida,Aulva01
Azpeitia nodulifera,Azpno01
Bacillaria cistula,Bacci01
Bacillaria paxillifera,Bacpa01
Bacillaria ulna,Bacul01
Berkeleya rutilans,Berru01
Biblarium leptostauron,Bible01
Biremis bicontracta,Birbi01
Brachysira brebissonii,Brabr01
Brachysira calcicola,Braca01
Brachysira liliana,Brali01
Brachysira neglectissima,Brane01
Brachysira neoexilis,Brane02
Brachysira procera,Brapr01
Brachysira pseudoexilis,Braps01
Brevilinea kevei,Breke01
Caloneis aemula,Calae01
Caloneis aerophila,Calae02
Caloneis alpestris,Calal01
Caloneis austrogeorgica,Calau01
Caloneis bacillum,Calba01
Caloneis biconstrictoides,Calbi01
Caloneis falcifera,Calfa01
Caloneis fontinalis,Calfo01
Caloneis fossilis,Calfo02
Caloneis hyalina,Calhy01
Caloneis lagerstedtii,Calla01
Caloneis lamella,Calla02
Caloneis lauta,Calla03
Caloneis lewisii,Calle01
Caloneis minuscula,Calmi01
Caloneis patagonica,Calpa01
Caloneis pulchra,Calpu01
Caloneis schumanniana,Calsc01
Caloneis silicula,Calsi01
Caloneis truncata,Caltr01
Caloneis ventricosa,Calve01
Caloneis westii,Calwe01
Campylodiscus hibernicus,Camhi01
Campylosira cymbelliformis,Camcy01
Capartogramma crucicula,Capcr01
Catenula adhaerens,Catad01
Cavinula patagonica,Cavpa01
Centronella reichelti,Cenre01
Ceratoneis gracilis,Cergr01
Chamaepinnularia aliena,Chaal01
Chamaepinnularia begeri,Chabe01
Chamaepinnularia falkiae,Chafa01
Chamaepinnularia muscicola,Chamu01
Chamaepinnularia rexii,Chare01
Chamaepinnularia rhombelliptica,Charh01
Chamaepinnularia schauppiana,Chasc01
Chamaepinnularia thermophila,Chath01
Climaconeis coxiae,Clico01
Climaconeis inflexa,Cliin01
Cocconeis brevicostata,Cocbr01
Cocconeis carminata,Cocca01
Cocconeis clandestina,Coccl01
Cocconeis costata,Cocco01
Cocconeis deperdita,Cocde01
Cocconeis disculus,Cocdi01
Cocconeis distans,Cocdi02
Cocconeis euglypta,Coceu01
Cocconeis hustedtii,Cochu01
Cocconeis intermedia,Cocin01
Cocconeis latecostata,Cocla01
Cocconeis lineata,Cocli01
Cocconeis neocaledonica,Cocne01
Cocconeis neodiminuta,Cocne02
Cocconeis neothumensis,Cocne03
Cocconeis pediculus,Cocpe01
Cocconeis placentula,Cocpl01
Cocconeis pseudograta,Cocps01
Cocconeis pseudothumensis,Cocps02
Cocconeis regalis,Cocre01
Cocconeis rouxii,Cocro01
Cocconeis scutellum,Cocsc01
Cocconeis semiaperta,Cocse01
Cocconeis superba,Cocsu01
Cocconema gracile,Cocgr01
Cocconema hungaricum,Cochu02
Cocconema leptoceros,Cocle01
Cocconema mexicanum,Cocme01
Cocconema parvum,Cocpa01
Conticribra weissflogii,Conwe01
Coscinodiscus cocconeiformis,Cosco01
Coscinodiscus lacunosus,Cosla01
Coscinodiscus lacustris,Cosla02
Craticula accomodiformis,Craac01
Craticula acidoclinata,Craac02
Craticula halopannonica,Craha01
Craticula riparia,Crari01
Craticula subminuscula,Crasu01
Craticula sverirschopkae,Crasv01
Craticula vixnegligenda,Cravi01
Craticula zizix,Crazi01
Crenotia rumrichorum,Creru01
Crenotia thermalis,Creth01
Ctenophora pulchella,Ctepu01
Cyclostephanos tholiformis,Cycth01
Cyclotella atomus,Cycat01
Cyclotella bodanica,Cycbo01
Cyclotella comta,Cycco01
Cyclotella cyclopuncta,Cyccy01
Cyclotella delicatissima,Cycde01
Cyclotella delicatula,Cycde02
Cyclotella distinguenda,Cycdi01
Cyclotella dubia,Cycdu01
Cyclotella exigua,Cycex01
Cyclotella glomerata,Cycgl01
Cyclotella iris,Cycir01
Cyclotella krammeri,Cyckr01
Cyclotella kuetzingiana,Cycku01
